Date,SKU Number,SKU Name,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,City,Sales (Qty) - Units,MRP,Gross Merchandise Value
21-01-2026,e4a7998c-9073-45a0-9d8c-a8747e811f06,"inde wild Champi Hair Oil With Bhringraj, Brahmi & Amla For Regrowth, Hairfall & Dandruff Control 1.0 PIECE",8.72101E+12,Hair Care,Hair Oil,inde wild,Inde Wild Private Limited,bad850c4-e659-44bf-8d49-cd9e21520f5f,Mumbai,2,355,710
30-01-2026,07e74fc5-7ecd-43d8-a3a8-6b6cd221026a,inde wild Champi Hair Oil 50.0 MILLILITRE,8.72101E+12,Hair Care,Hair Oil,inde wild,Inde Wild Private Limited,bad850c4-e659-44bf-8d49-cd9e21520f5f,Mumbai,11,844,9284
26-01-2026,e4a7998c-9073-45a0-9d8c-a8747e811f06,"inde wild Champi Hair Oil With Bhringraj, Brahmi & Amla For Regrowth, Hairfall & Dandruff Control 1.0 PIECE",8.72101E+12,Hair Care,Hair Oil,inde wild,Inde Wild Private Limited,bad850c4-e659-44bf-8d49-cd9e21520f5f,Mumbai,2,355,710
22-01-2026,07e74fc5-7ecd-43d8-a3a8-6b6cd221026a,inde wild Champi Hair Oil 50.0 MILLILITRE,8.72101E+12,Hair Care,Hair Oil,inde wild,Inde Wild Private Limited,bad850c4-e659-44bf-8d49-cd9e21520f5f,Mumbai,6,844,5064
21-01-2026,07e74fc5-7ecd-43d8-a3a8-6b6cd221026a,inde wild Champi Hair Oil 50.0 MILLILITRE,8.72101E+12,Hair Care,Hair Oil,inde wild,Inde Wild Private Limited,bad850c4-e659-44bf-8d49-cd9e21520f5f,Gurugram,3,844,2532
19-01-2026,3fa4c1a5-3183-4619-8774-491e2fd1008a,inde wild Dewy Lip Treatment 15.0 MILLILITRE,8.72101E+12,Skincare,Eye & Lip Care,inde wild,Inde Wild Private Limited,bad850c4-e659-44bf-8d49-cd9e21520f5f,Mumbai,4,799,3196
10-01-2026,32680322-fb74-4724-90e6-5377faa630a3,"inde wild Moonlight Scalp Serum with Moringa, Bhringraj & Amla | Healthy Scalp & Hair Density 1.0 PIECE",8.72101E+12,Hair Care,Hair Serum & Polish,inde wild,Inde Wild Private Limited,bad850c4-e659-44bf-8d49-cd9e21520f5f,Bengaluru,4,499,1996
09-01-2026,3fa4c1a5-3183-4619-8774-491e2fd1008a,inde wild Dewy Lip Treatment 15.0 MILLILITRE,8.72101E+12,Skincare,Eye & Lip Care,inde wild,Inde Wild Private Limited,bad850c4-e659-44bf-8d49-cd9e21520f5f,Hyderabad,2,799,1598
30-01-2026,9e7b013e-5aff-4eb6-b474-ac94c392e348,inde wild Rose Sun Mist SPF 50 Pa 60.0 MILLILITRE,8.72101E+12,Skincare,Sun Care,inde wild,Inde Wild Private Limited,bad850c4-e659-44bf-8d49-cd9e21520f5f,Hyderabad,4,849,3396
11-01-2026,94930f70-e21f-4103-9bf8-9f3330478fa7,inde wild Moonlight Scalp Serum 50.0 MILLILITRE,8.72101E+12,Hair Care,Hair Serum & Polish,inde wild,Inde Wild Private Limited,bad850c4-e659-44bf-8d49-cd9e21520f5f,Bengaluru,1,1199,1199
